"GMYC_spec","sample_name"
1,"ANGBF32322_19_Cirripectes"
1,"RESIC180_11_Cirripectes"
1,"RUNA_1208_Cirripectes_castaneus"
1,"ORCIE_1125_Cirripectes_castaneus"
1,"SBF725_11_Cirripectes"
1,"ANGBF32323_19_Cirripectes"
1,"ANGBF32325_19_Cirripectes"
1,"ANGBF32324_19_Cirripectes"
1,"ANGBF32327_19_Cirripectes"
1,"GBMIN121923_17_Cirripectes"
1,"GBMIN97243_17_Cirripectes"
1,"ANGBF32326_19_Cirripectes"
1,"ORCIE1808_Cirripectes_castaneus"
1,"RUNA_0370_Cirripectes_castaneus"
1,"SBF724_11_Cirripectes"
1,"RUNA_0272_Cirripectes_castaneus"
1,"COLOR469_15_Cirripectes"
1,"RUNA_3154_Cirripectes_castaneus"
1,"SAIAB1074_08_Cirripectes"
1,"RUNA_2168_cirripectes_castaneus"
1,"RUNA_0022_Cirripectes_castaneus"
1,"RUNA_0737_Cirripectes_castaneus"
1,"RUNA_2347_Cirripectes_castaneus"
1,"RUNA_3176_Cirripectes_castaneus"
1,"RUNA_2379_Cirripectes_castaneus"
1,"GBMIN131289_17_Cirripectes"
1,"LIFS793_08_Cirripectes"
1,"RUNA_0854_Cirripectes_castaneus"
1,"RUNA_2719_Cirripectes_castaneus"
1,"RUNA_3155_Cirripectes_castaneus"
1,"LIFS795_08_Cirripectes"
1,"RESIC179_11_Cirripectes"
1,"RESIC181_11_Cirripectes"
1,"RUNA_2348_Cirripectes_castaneus"
1,"RUNA_2450_Cirripectes_castaneus"
1,"RUNA_2346_Cirripectes_castaneus"
1,"RUNA_2717_Cirripectes_castaneus"
1,"SAIAB025_06_Cirripectes"
1,"RUNA_3214_Cirripectes_castaneus"
1,"RUNA_2718_Cirripectes_castaneus"
1,"SAIAB024_06_Cirripectes"
1,"LIFS794_08_Cirripectes"
1,"RUNA_2344_Cirripectes_castaneus"
1,"RUNA_3895_Cirripectes_castaneus"
1,"RUNA_4001_Cirripectes_castaneus"
1,"SBF598_11_Cirripectes"
1,"RUNA_4002_Cirripectes_castaneus"
1,"ORCIE_1027_Cirripectes_castaneus"
1,"RUNA_2449_Cirripectes_castaneus"
1,"RUNA_3256_Cirripectes_castaneus"
1,"RUNA_2899_Cirripectes_castaneus"
1,"SBF752_11_Cirripectes"
2,"ANGBF9231_12_Cirripectes"
2,"ANGBF9244_12_Cirripectes"
2,"DSLAG1786_12_Cirripectes"
2,"DSLAG1745_12_Cirripectes"
2,"DSLAG1798_12_Cirripectes"
2,"DSFSG709_11_Cirripectes"
2,"DSFSG737_11_Cirripectes"
3,"AUSTR154_13_Cirripectes"
3,"MBFA979_07_Cirripectes"
3,"MBFA978_07_Cirripectes"
3,"AUSTR155_13_Cirripectes"
3,"AUSTR395_13_Cirripectes"
3,"FUT160_18_Cirripectes"
4,"COLOR408_15_Cirripectes"
4,"SBF750_11_Cirripectes"
4,"SBF751_11_Cirripectes"
4,"COLOR413_15_Cirripectes"
4,"ORCIE1990_Cirripectes_randalli"
4,"SBF493_11_Cirripectes"
4,"SBF680_11_Cirripectes"
4,"SBF707_11_Cirripectes"
4,"SBF681_11_Cirripectes"
4,"SBF706_11_Cirripectes"
5,"ANGBF32332_19_Cirripectes"
5,"AUSTR163_13_Cirripectes"
5,"UKFBI168_08_Cirripectes"
5,"SCILL193_15_Cirripectes"
5,"AUSTR533_13_Cirripectes"
5,"FUT165_18_Cirripectes"
5,"AUSTR535_13_Cirripectes"
5,"FPFLB318_12_Cirripectes"
5,"GAMBA246_12_Cirripectes"
5,"FPFLB304_12_Cirripectes"
5,"AUSTR400_13_Cirripectes"
5,"GAMBA247_12_Cirripectes"
5,"MBFA178_07_Cirripectes"
5,"GAMBA236_12_Cirripectes"
5,"AUSTR401_13_Cirripectes"
5,"FPFLB321_12_Cirripectes"
5,"AUSTR166_13_Cirripectes"
5,"FPFLB371_12_Cirripectes"
5,"FPFLB369_12_Cirripectes"
5,"AUSTR534_13_Cirripectes"
5,"MBFA179_07_Cirripectes"
5,"FPFLB317_12_Cirripectes"
6,"AUSTR545_13_Cirripectes"
6,"AUSTR546_13_Cirripectes"
7,"AUSTR398_13_Cirripectes"
7,"AUSTR548_13_Cirripectes"
7,"AUSTR547_13_Cirripectes"
7,"GAMBA640_12_Cirripectes"
7,"GAMBA637_12_Cirripectes"
8,"1583_Cirripectes_stigmaticus"
8,"ORCIE1890_Cirripectes_stigmaticus"
8,"FUT003_18_Cirripectes"
8,"RUNA_3262_Cirripectes_stigmaticus"
8,"FUT115_18_Cirripectes"
8,"UKFBI528_08_Cirripectes"
8,"ORCIE1889_Cirripectes_stigmaticus"
8,"UKFBK089_08_Cirripectes"
9,"AUSTR052_13_Cirripectes"
9,"GAMBA281_12_Cirripectes"
9,"GBMNB10991_20_Cirripectes"
9,"AUSTR160_13_Cirripectes"
9,"FPFLB403_12_Cirripectes"
9,"GAMBA025_12_Cirripectes"
9,"GBMNB10990_20_Cirripectes"
9,"MBFA187_07_Cirripectes"
9,"GBMNB10993_20_Cirripectes"
9,"GAMBA026_12_Cirripectes"
9,"GAMBA282_12_Cirripectes"
9,"GAMBA862_12_Cirripectes"
9,"AUSTR162_13_Cirripectes"
9,"GBMNB10989_20_Cirripectes"
9,"GBMNB10992_20_Cirripectes"
9,"GAMBA280_12_Cirripectes"
9,"MBFA186_07_Cirripectes"
9,"AUSTR056_13_Cirripectes"
9,"GBMNB10972_20_Cirripectes"
9,"GBMNB10964_20_Cirripectes"
9,"GBMNB10979_20_Cirripectes"
9,"GBMNB10967_20_Cirripectes"
9,"GBMNB10965_20_Cirripectes"
9,"GBMNB10977_20_Cirripectes"
9,"FPFLB356_12_Cirripectes"
9,"GBMNB10976_20_Cirripectes"
9,"GBMNB10961_20_Cirripectes"
9,"GBMNB10980_20_Cirripectes"
9,"GBMNB10975_20_Cirripectes"
9,"GBMNB10981_20_Cirripectes"
9,"GBMNB10988_20_Cirripectes"
9,"MARQ073_12_Cirripectes"
9,"GBMNB10969_20_Cirripectes"
9,"GBMNB10960_20_Cirripectes"
9,"GBMNB10963_20_Cirripectes"
9,"GBMNB10962_20_Cirripectes"
9,"GBMNB10966_20_Cirripectes"
9,"GBMNB10970_20_Cirripectes"
9,"GBMNB10987_20_Cirripectes"
9,"MARQ074_12_Cirripectes"
9,"GBMNB10971_20_Cirripectes"
9,"GBMNB10986_20_Cirripectes"
9,"GBMNB10983_20_Cirripectes"
9,"GBMNB10973_20_Cirripectes"
9,"GBMNB10982_20_Cirripectes"
9,"GBMNB10985_20_Cirripectes"
9,"MARQ071_12_Cirripectes"
9,"GBMNB10974_20_Cirripectes"
9,"GBMNB10968_20_Cirripectes"
9,"GBMNB10978_20_Cirripectes"
9,"GBMNB10984_20_Cirripectes"
9,"AUSTR161_13_Cirripectes"
9,"FUT004_18_Cirripectes"
9,"SCILL194_15_Cirripectes"
9,"SCILL252_15_Cirripectes"
10,"AUSTR240_13_Cirripectes"
10,"GBMNB10939_20_Cirripectes"
10,"GBMNB10952_20_Cirripectes"
10,"GBMNB10956_20_Cirripectes"
10,"GBMNB10950_20_Cirripectes"
10,"GBMNB10959_20_Cirripectes"
10,"GBMNB10954_20_Cirripectes"
10,"GBMNB10940_20_Cirripectes"
10,"MARQ140_12_Cirripectes"
10,"GBMNB10943_20_Cirripectes"
10,"GBMNB10949_20_Cirripectes"
10,"GBMNB10957_20_Cirripectes"
10,"GBMNB10958_20_Cirripectes"
10,"GBMNB10938_20_Cirripectes"
10,"GBMNB10948_20_Cirripectes"
10,"GBMNB10941_20_Cirripectes"
10,"GBMNB10945_20_Cirripectes"
10,"GBMNB10947_20_Cirripectes"
10,"GBMNB10951_20_Cirripectes"
10,"GBMNB10934_20_Cirripectes"
10,"GBMNB10946_20_Cirripectes"
10,"GBMNB10953_20_Cirripectes"
10,"GBMNB10935_20_Cirripectes"
10,"GBMNB10937_20_Cirripectes"
10,"GBMNB10944_20_Cirripectes"
10,"GBMNB10936_20_Cirripectes"
10,"GBMNB10955_20_Cirripectes"
10,"GBMNB10942_20_Cirripectes"
10,"MARQ139_12_Cirripectes"
10,"GAMBA023_12_Cirripectes"
10,"GAMBA024_12_Cirripectes"
11,"ANGBF26357_19_Cirripectes"
11,"SAIAB187_06_Cirripectes"
11,"GBMIN96357_17_Cirripectes"
11,"ANGBF32328_19_Cirripectes"
11,"SAIAB026_06_Cirripectes"
11,"ANGBF32329_19_Cirripectes"
11,"ANGBF32330_19_Cirripectes"
11,"ZOSKT1161_16_Cirripectes"
12,"MH932003_1_Cirripectes_patuki"
12,"MH932007_1_Cirripectes_patuki"
12,"MH932005_1_Cirripectes_patuki"
12,"MH932004_1_Cirripectes_patuki"
12,"MH932006_1_Cirripectes_patuki"
13,"MH932008_1_Cirripectes_alboapicalis"
13,"MH932009_1_Cirripectes_alboapicalis"
14,"GBMNB10994_20_Cirripectes"
14,"GBMNB11003_20_Cirripectes"
14,"GBMNB11025_20_Cirripectes"
14,"GBMNB11045_20_Cirripectes"
14,"GBMNB11057_20_Cirripectes"
14,"GBMNB11017_20_Cirripectes"
14,"GBMNB11021_20_Cirripectes"
14,"GBMNB11053_20_Cirripectes"
14,"GBMNB11020_20_Cirripectes"
14,"GBMNB11044_20_Cirripectes"
14,"GBMNB11056_20_Cirripectes"
14,"GBMNB11033_20_Cirripectes"
14,"GBMNB10998_20_Cirripectes"
14,"GBMNB11015_20_Cirripectes"
14,"GBMNB11066_20_Cirripectes"
14,"GBMNB11019_20_Cirripectes"
14,"GBMNB11022_20_Cirripectes"
14,"GBMNB11041_20_Cirripectes"
14,"GBMNB11005_20_Cirripectes"
14,"GBMNB11008_20_Cirripectes"
14,"GBMNB11032_20_Cirripectes"
14,"GBMNB11010_20_Cirripectes"
14,"GBMNB11058_20_Cirripectes"
14,"GBMNB11018_20_Cirripectes"
15,"GBMNB10999_20_Cirripectes"
15,"GBMNB11009_20_Cirripectes"
15,"GBMNB11067_20_Cirripectes"
15,"GBMNB11035_20_Cirripectes"
15,"GBMNB11001_20_Cirripectes"
15,"GBMNB11031_20_Cirripectes"
15,"GBMNB11011_20_Cirripectes"
15,"GBMNB11028_20_Cirripectes"
15,"GBMNB11026_20_Cirripectes"
15,"GBMNB11068_20_Cirripectes"
16,"GBMNB10995_20_Cirripectes"
16,"GBMNB11043_20_Cirripectes"
16,"GBMNB11002_20_Cirripectes"
16,"GBMNB11000_20_Cirripectes"
16,"GBMNB10996_20_Cirripectes"
16,"GBMNB11030_20_Cirripectes"
16,"GBMNB11054_20_Cirripectes"
16,"GBMNB11006_20_Cirripectes"
16,"GBMNB11042_20_Cirripectes"
16,"GBMNB11063_20_Cirripectes"
16,"GBMNB11013_20_Cirripectes"
16,"GBMNB11061_20_Cirripectes"
16,"GBMNB11055_20_Cirripectes"
16,"GBMNB11064_20_Cirripectes"
16,"GBMNB11039_20_Cirripectes"
16,"GBMNB11052_20_Cirripectes"
16,"GBMNB11040_20_Cirripectes"
16,"GBMNB11047_20_Cirripectes"
16,"GBMNB11029_20_Cirripectes"
16,"GBMNB11049_20_Cirripectes"
16,"GBMNB11051_20_Cirripectes"
16,"GBMNB10997_20_Cirripectes"
16,"GBMNB11062_20_Cirripectes"
16,"GBMNB11012_20_Cirripectes"
16,"GBMNB11059_20_Cirripectes"
16,"GBMNB11069_20_Cirripectes"
16,"GBMNB11023_20_Cirripectes"
16,"GBMNB11024_20_Cirripectes"
16,"GBMNB11065_20_Cirripectes"
17,"GBMNB11004_20_Cirripectes"
17,"GBMNB11034_20_Cirripectes"
17,"GBMNB11007_20_Cirripectes"
17,"GBMNB11037_20_Cirripectes"
17,"GBMNB11038_20_Cirripectes"
17,"GBMNB11046_20_Cirripectes"
17,"GBMNB11014_20_Cirripectes"
17,"GBMNB11016_20_Cirripectes"
17,"GBMNB11027_20_Cirripectes"
17,"GBMNB11050_20_Cirripectes"
17,"GBMNB11048_20_Cirripectes"
17,"GBMNB11036_20_Cirripectes"
18,"ANGBF32331_19_Cirripectes"
18,"UKFBJ563_08_Cirripectes"
19,"RESIC148_11_Cirripectes"
19,"RESIC484_11_Cirripectes"
20,"AUSTR544_13_Cirripectes"
21,"FUT163_18_Cirripectes"
22,"GBMNB11060_20_Cirripectes"
23,"KT284893_1_Omobranchus_elegans"
24,"KU136_Ophioblennius_macclurei_"
25,"NC_004411_1_Petroscirtes_breviceps"
26,"NC_004412_1_Salarias_fasciatus"
27,"NC_028295_1_Ecsenius_bicolor"
28,"RESIC057_11_Cirripectes"
